年份／名稱,論文題目,類別,子分類,
,微型慈善團體標誌造型之弱美學與符號修詞之分析,理論,文化符號與視覺研究,
,臺灣動物園環境標識系統之研究,理論,其他研究,
,光構成應用於裝幀設計之表現研究,理論,造形研究,
,療癒風格應用於寵物追思網站之研究,理論,使用者經驗與介面設計研究,
,膠原蛋白粉包裝設計視覺要素之研究­以藥妝通路為例,理論,文化符號與視覺研究,
,視覺圖像之設計風格特徵研究—以夏季奧運會為例,理論,文化符號與視覺研究,
,行動擴增實境的角色設計風格之分析─以動物類為例,理論,文化符號與視覺研究,
,使用者對於掃地機器人的喜愛認知之研究調查,理論,使用者經驗與介面設計研究,
,後像色彩對應 NCS 色彩系統之實驗研究,理論,色彩研究,
,臺灣小農交易平臺之應用程式介面設計研究,理論,使用者經驗與介面設計研究,
,基於都市熱島微氣候應用程式與儀表板介面設計,理論,使用者經驗與介面設計研究,
,臺灣青少年族群對於餐廳訂位應用程式之介面使用性研究,理論,使用者經驗與介面設計研究,
,探討優化前後的介面設計與使用性測試之前導研究,理論,使用者經驗與介面設計研究,
,美國大學網站之介面易用性探討,理論,使用者經驗與介面設計研究,
,APP 介面圖示設計易讀性研究—以桂冠實業購物 APP 為例,理論,使用者經驗與介面設計研究,
,整合巴宰族文化於實境遊戲之研究,理論,文化符號與視覺研究,
,仿生設計—「鯨詠」鯨魚揚聲器產品設計,理論,其他研究,
,探索數位學習研究的議題範疇,理論,教育場域研究,
,時間管理軟體遊戲化之分析研究-以《Forest:專注森林》為例,理論,其他研究,
,記憶表述的策展以雄江庫區移民文化館為例,理論,文化符號與視覺研究,
2021,《遊蹤雞籠》—基隆市文化地圖插畫創作研究,創作,繪本與插畫創作,
,探討性別友善職場之動態插畫創作,創作,繪本與插畫創作,
,《調影》人生八階觀念攝影之創作研究,創作,攝影創作,
,福州脫胎漆器之書籍設計創作研究,創作,其他創作,
,資訊圖表應用於新冠肺炎健康議題之創作研究,創作,資訊圖像,
,以榮格心理學探討格林童話《睡美人》轉化於海報創作研究,創作,動態影像／動畫,
,動態影像應用於音樂視覺化之探討,創作,動態影像／動畫,
,閩南文化之網頁設計創作研究漢字編排之動態海報研究-以臺灣獨立樂團為例,創作,動態影像／動畫,
,舞獅文化符碼應用於兒童繪本之創作研究,創作,繪本與插畫創作,
,互聯網企業標誌之表現形式與造形元素偏好研究,理論,造形研究,
,透過企業標誌的更新設計探討視覺媒體的演變,理論,文化符號與視覺研究,
,透明材料應用於平面設計中的特色表現,理論,其他研究,
,運用象徵主義觀點之圖像分析研究——以偉特、小王子、羅賓伍德塔羅牌為例,理論,造形研究,
,探討職棒球隊結合在地形象之視覺系統設計一以統一獅為例,理論,文化符號與視覺研究,
,年輕族群對於包裝色彩意象研究-以臺灣啤酒為例,理論,色彩研究,
,探討當代臺灣超文本識別設計應用於品牌之研究,理論,其他研究,
2020,資訊圖表應用於馬祖文化與臺灣文化比較之創作研究,創作,資訊圖像,
,臺中山城客家飲食文化應用於圖像設計之創作研究,創作,其他創作,
,攝影拼貼表現恐懼情緒影像創作研究,創作,動態影像／動畫,
,嘉義地誌詩海報創作研究,創作,動態影像／動畫,
,角色設計應用於LINE原創貼圖創作研究,創作,其他創作,
,肢體動作與情緒之視覺化創作研究,創作,資訊圖像,
,由植物圖像探討音樂視覺化創作研究,創作,資訊圖像,
,以視覺詮釋搖滾音樂曲風之創作研究,創作,其他創作,
,廣告看板與百工意象轉換之創作研究-以萬華康定路為例,創作,其他創作,
,動態圖像設計應用於藝用解剖學之創作研究,創作,動態影像／動畫,
